id	fea1 fea2 ... fea84
11	0.0 0.0 0.0 0.0 0.0 0.0 0.0 91.99999999999999 4.0 0.0 1.5 0.0 0.0 0.0 60.4 8.0 1.0 0.0 0.0 0.0 0.0 11.1 0.0 25.0 7.2 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 45.830000000000005 0.0 4.0 0.0 0.0 0.0 0.0 69.6 4.0 2.5 0.0 0.0 0.0 4.8 0.0 0.0 0.0 6.000000000000001 0.0 0.0 0.0 0.0 0.0 0.0 12.900000000000002 0.0 0.0 0.0 817.2900000000002 2.0 27.6 0.0 0.0 0.0 0.0 714.1299999999997 12.0 129.4 1.8 0.0 0.0 0.15 52.2 2.0 115.19999999999999 61.30999999999999 0.0 0.0 0.3 
12	1.4 0.0 0.0 0.07 0.0 0.0 0.0 363.5800000000002 0.0 78.1 6.01 0.0 10.0 0.0 267.81999999999994 0.0 55.8 3.2600000000000002 0.02 20.0 0.0 7.0 0.0 151.4 13.739999999999995 0.07 13.9 0.0 3.0 0.0 0.0 11.719999999999999 0.0 0.0 0.0 732.08 0.0 38.4 5.22 0.13 0.0 0.0 697.4000000000004 0.0 101.69999999999999 10.259999999999998 0.04 22.1 0.0 11.0 0.0 67.39999999999999 43.81000000000001 0.03 0.0 0.0 0.0 0.0 0.0 2.4499999999999993 0.0 0.0 0.0 688.0900000000005 8.0 41.0 5.18 0.3000000000000001 0.0 0.0 620.2000000000005 0.0 85.89999999999999 11.319999999999997 0.26000000000000006 5.9 0.0 15.5 1.0 121.89999999999999 77.06000000000013 0.03 5.800000000000001 0.0 
13	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
14	0.0 0.0 0.0 0.01 0.0 0.0 0.0 14.899999999999999 0.0 0.0 0.0 0.0 0.0 0.0 10.2 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 18.2 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.0 9.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.2 0.0 0.0 0.19 0.0 0.0 0.0 764.6300000000009 1.0 9.0 5.049999999999999 0.0 0.8 1.25 367.6299999999999 1.0 37.3 8.29 0.0 9.6 0.0 173.0 6.0 52.199999999999996 2.82 0.0 2.3 0.0 
15	0.0 0.0 0.0 0.0 0.0 0.0 0.0 23.63 0.0 11.9 0.01 0.0 0.0 0.0 30.200000000000003 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 2.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
17	5.7 0.0 0.0 0.07 0.0 0.0 0.0 482.0200000000006 0.0 46.0 9.38 0.0 0.0 0.0 375.8600000000002 0.0 35.6 2.92 0.0 12.8 0.0 28.9 0.0 87.8 15.46 0.0 0.0 0.0 3.3000000000000003 0.0 0.0 0.0 0.0 0.0 0.0 571.1699999999993 0.0 5.2 5.58 0.0 3.4 0.0 608.8000000000009 0.0 67.8 20.120000000000005 0.0 7.6 0.0 45.0 0.0 60.599999999999994 31.259999999999998 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 859.1100000000005 0.0 0.0 4.68 0.0 0.0 0.5 669.8100000000006 0.0 35.8 23.76 0.0 0.0 0.0 151.6 0.0 138.1 24.299999999999997 0.0 0.0 0.0 
18	3.8 0.0 0.0 0.0 0.0 0.0 0.0 9.7 0.0 0.0 0.0 0.0 0.0 0.0 22.700000000000003 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
19	6.26 0.0 0.0 0.0 0.0 0.0 0.0 46.3 0.0 27.0 0.1 0.02 0.0 0.0 29.099999999999998 0.0 4.5 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.23 0.0 0.0 0.0 19.200000000000003 0.0 0.0 0.63 0.0 0.0 0.0 424.0100000000005 0.0 6.0 0.22000000000000003 0.4600000000000002 22.7 0.0 265.6100000000001 0.0 26.0 3.4 0.5300000000000002 13.200000000000003 6.75 0.0 0.0 30.299999999999997 15.249999999999995 0.05 8.3 0.0 6.0 0.0 0.0 1.3 0.0 0.0 0.0 355.30000000000007 0.0 23.3 10.979999999999999 0.6400000000000003 8.5 0.0 234.59000000000006 1.0 37.2 13.559999999999995 0.5900000000000003 22.4 0.0 1.5 0.0 31.9 25.65000000000001 0.09999999999999999 0.0 0.0 
20	0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.0 0.0 0.0 0.0 0.0 0.0 15.899999999999999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.31000000000000005 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 68.7 0.0 0.0 0.01 0.0 0.0 0.0 42.6 0.0 4.0 3.62 0.0 0.0 0.0 0.0 0.0 9.3 4.750000000000001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 52.599999999999994 0.0 0.0 0.0 0.0 0.0 0.0 46.2 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21	0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 7.45 0.0 1.6 0.0 60.300000000000004 0.0 0.0 1.2 0.0 5.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.4 0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 2.4 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.7 0.0 0.0 0.0 0.0 0.0 4.5 9.6 1.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 7.4 0.01 0.0 0.0 0.0 
22	0.0 0.0 0.0 0.0 0.0 0.0 0.0 660.0000000000005 2.6 94.0 5.139999999999997 0.0 0.0 0.0 307.90000000000043 5.0 44.0 2.089999999999999 0.0 0.0 0.0 28.0 1.0 54.9 0.7100000000000003 0.0 3.6999999999999997 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 764.5900000000004 6.0 90.89999999999999 4.970000000000001 0.0 0.0 0.0 459.20000000000033 16.0 87.1 7.55 0.03 4.9 0.0 35.7 10.0 62.5 23.66 0.02 5.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 650.0100000000002 14.0 50.699999999999996 6.23 0.01 0.0 14.1 519.9000000000007 20.0 134.8 9.31 0.03 0.0 0.0 3.2 4.0 74.9 17.040000000000003 0.0 0.0 0.0 
23	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.400000000000002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
24	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
25	14.200000000000001 0.0 0.0 0.01 0.0 0.0 0.0 64.49 0.0 0.0 0.11 0.05 2.4 0.0 34.6 0.0 38.4 4.329999999999999 0.0 1.5 0.0 0.0 0.0 0.0 5.119999999999999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.79 0.0 0.0 0.0 0.02 0.0 0.0 31.400000000000002 0.0 0.0 0.7 0.01 0.0 0.0 0.0 0.0 15.0 1.26 0.0 0.0 0.0 
26	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.6 0.0 0.0 0.0 329.47999999999985 0.0 0.0 4.5 0.18000000000000002 25.700000000000003 0.0 222.53999999999994 0.0 0.0 0.0 0.20000000000000004 4.0 0.0 37.1 0.0 28.2 29.300000000000008 0.09 2.0 0.0 
27	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 148.69999999999993 0.0 3.5 0.0 0.01 0.0 2.6 47.63 0.0 0.0 0.0 0.03 0.0 2.25 0.0 0.0 27.0 3.9 0.01 0.0 0.0 
28	5.3 0.0 0.0 0.0 0.0 0.0 0.0 421.2000000000005 0.0 308.6000000000001 12.11 0.0 0.0 0.0 614.6800000000007 0.0 410.7 4.51 0.0 0.0 0.0 8.4 0.0 24.8 32.160000000000004 0.0 0.0 0.0 1.8 0.0 0.0 0.0 0.0 0.0 0.0 425.5000000000002 0.0 32.2 3.21 0.0 0.0 0.0 672.8600000000007 0.0 200.4 1.4 0.0 8.0 6.15 5.5 2.0 138.6 36.31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 617.2000000000007 5.0 46.0 0.0 0.0 0.0 0.0 813.060000000001 1.0 189.4 4.4 0.0 0.0 4.6499999999999995 2.2 0.0 70.9 27.10000000000001 0.0 0.0 0.0 
29	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.7 0.0 0.0 1.3 0.0 0.0 0.0 13.8 0.0 17.4 0.0 0.0 0.0 0.0 0.0 0.0 77.9 2.5 0.0 0.0 0.0 
30	34.66 0.0 0.0 0.0 0.0 0.0 0.0 766.4300000000009 8.0 191.1 2.42 0.02 0.0 1.0 579.4000000000001 16.0 321.70000000000005 7.1899999999999995 0.0 11.0 2.5 96.80000000000001 0.0 198.39999999999998 26.230000000000004 0.01 10.0 0.0 81.79999999999998 0.0 0.0 0.0 0.0 0.0 0.0 714.7000000000008 8.0 50.5 4.32 0.05 5.5 0.0 551.9500000000004 5.0 267.34 9.4 0.0 9.0 0.0 55.2 1.0 231.39999999999998 19.259999999999998 0.03 2.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 902.9600000000015 6.0 68.8 3.1099999999999994 0.1 0.0 0.0 500.0000000000004 8.0 228.00000000000003 7.359999999999999 0.0 6.8 0.0 61.29999999999999 0.0 179.7 27.339999999999996 0.0 0.0 0.0 
31	20.489999999999995 0.0 0.0 0.02 0.0 0.0 0.0 351.39000000000004 1.0 52.8 43.01000000000001 0.0 219.4 0.0 310.44999999999993 1.0 78.09999999999998 11.45 0.0 316.0 0.0 64.1 0.0 87.9 85.01000000000006 0.0 73.75999999999999 0.0 0.0 0.0 0.0 2.9000000000000004 0.0 0.0 0.0 540.3800000000002 0.0 73.30000000000001 53.30000000000003 0.0 0.0 1.05 380.93000000000006 0.0 106.19999999999999 12.199999999999998 0.0 19.6 0.0 58.5 0.0 97.20000000000002 48.67000000000001 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 537.2299999999999 0.0 86.0 39.41000000000001 0.0 5.0 0.0 662.7399999999997 0.0 137.3 16.999999999999996 0.0 6.6 0.0 20.0 0.0 13.7 74.3 0.0 5.0 0.0 
32	4.9 0.0 0.0 0.12000000000000001 0.0 0.0 0.0 937.4899999999994 12.0 85.19999999999999 12.629999999999997 0.09 0.0 0.0 688.23 28.0 88.8 9.540000000000001 0.07 20.0 0.0 50.5 0.0 23.7 27.780000000000015 0.05 0.0 0.0 0.0 0.0 0.0 3.42 0.0 0.0 0.0 913.7500000000007 28.0 13.7 10.42 0.01 0.0 0.0 655.8300000000006 52.0 110.6 14.499999999999998 0.03 0.0 0.0 43.8 0.0 68.9 39.06000000000001 0.01 0.0 0.0 0.0 0.0 0.0 2.7 0.0 0.0 0.0 862.3100000000009 2.0 36.0 5.89 0.0 0.0 1.5 579.0000000000007 9.0 51.9 12.929999999999998 0.01 19.6 1.8 25.3 0.0 72.60000000000001 37.3 0.03 4.5 0.0 
33	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.8 0.0 0.0 0.0 0.0 0.0 0.0 21.2 0.0 0.0 0.0 0.0 0.0 0.0 22.8 0.0 0.2 6.699999999999999 0.0 0.0 0.0 0.0 0.0 27.0 4.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
34	24.03 0.0 0.0 0.02 0.0 0.0 0.0 744.6500000000004 0.0 258.7 5.94 0.0 0.0 1.9500000000000002 513.3000000000004 0.0 228.99999999999997 22.829999999999995 0.0 0.0 0.0 34.2 0.0 85.4 10.899999999999995 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 861.4299999999997 4.0 199.4 15.029999999999996 0.0 0.0 0.75 480.78000000000003 1.0 264.49999999999994 16.619999999999997 0.04 0.0 0.0 22.8 1.0 405.20000000000005 16.049999999999997 0.01 0.0 0.0 2.6 0.0 0.0 0.7 0.0 0.0 0.0 587.6 0.0 666.3000000000001 29.000000000000014 0.0 0.0 3.75 353.54000000000013 3.0 905.0000000000001 19.230000000000004 0.0 0.0 5.8500000000000005 16.5 0.0 270.7 7.4 0.0 0.0 0.0 
35	0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.86000000000001 0.0 0.0 1.4899999999999998 0.0 0.0 0.0 12.0 0.0 55.6 1.9000000000000001 0.0 0.0 0.0 0.0 0.0 0.0 1.47 0.0 0.0 0.0 0.0 0.0 0.0 7.9 0.0 0.0 0.0 630.4800000000001 2.0 32.2 8.49 0.2700000000000001 7.5 0.0 350.48 1.0 62.8 51.73000000000003 0.25000000000000006 3.5 0.0 28.3 1.0 25.2 34.309999999999995 0.18000000000000005 0.0 0.0 0.0 0.0 0.0 3.0999999999999996 0.0 0.0 0.0 786.6099999999997 3.0 162.6 57.45999999999999 0.13999999999999999 15.0 3.0 399.55999999999995 18.0 81.60000000000001 66.58999999999999 0.26000000000000006 32.6 7.5 67.39999999999999 7.0 46.4 45.29999999999999 0.15999999999999998 14.9 0.0 
36	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.46 0.0 0.0 0.0 0.0 0.0 0.0 616.5500000000003 1.0 8.9 12.579999999999995 0.5500000000000003 0.0 7.8 399.82999999999987 1.0 40.800000000000004 13.48 0.4900000000000002 0.0 6.75 40.0 1.0 21.5 24.66999999999999 0.22 10.7 0.0 
